index,nb_expr_total,nb_expr_ok,nb_expr_absentes,expr_absentes
76,5,5,0,[]
77,5,5,0,[]
78,5,5,0,[]
79,5,5,0,[]
80,5,5,0,[]
81,5,5,0,[]
82,5,5,0,[]
83,3,3,0,[]
84,5,5,0,[]
85,5,4,1,"[""agissent pour l'environnement""]"
86,6,6,0,[]
87,5,5,0,[]
88,5,3,2,"['jeunes engagés', 'mouvement écologique']"
89,4,3,1,['conflits entre communautés']
90,5,5,0,[]
91,5,5,0,[]
92,5,3,2,"['orientation professionnelle', 'outils et ressources']"
93,5,5,0,[]
94,5,5,0,[]
95,5,4,1,['exploration de la Lune']
96,5,4,1,['exploration spatiale']
97,5,2,3,"['relation maître-animal', 'lien de confiance', 'membre de la famille']"
98,5,5,0,[]
99,5,4,1,['industrie du jeu vidéo']
100,5,5,0,[]
101,5,4,1,['interconnexion des marchés']
102,5,5,0,[]
103,6,6,0,[]
104,5,3,2,"['paix et stabilité', 'population vulnérable']"
105,5,5,0,[]
106,5,4,1,['interagir avec leur audience']
107,5,5,0,[]
108,5,4,1,['jeunesse']
109,5,5,0,[]
110,5,5,0,[]
111,5,4,1,['cooperation entre nations']
112,5,5,0,[]
113,5,4,1,['économie']
114,5,4,1,['transparence et confiance']
115,5,4,1,['justice et égalité']
116,5,5,0,[]
117,5,5,0,[]
118,5,3,2,"['préservation de la biodiversité', 'protection des espèces']"
119,5,2,3,"['transitions politiques', 'quêtes de changement', 'défis économiques']"
120,5,5,0,[]
121,3,2,1,['relations de célébrités']
122,5,5,0,[]
123,6,6,0,[]
124,5,4,1,['environnement extrême']
125,5,4,1,['changement climatique']
126,5,5,0,[]
127,5,5,0,[]
128,5,4,1,['vêtements']
129,5,4,1,['changement significatif']
130,6,6,0,[]
131,6,6,0,[]
132,6,5,1,['prédateurs et proies']
133,5,1,4,"['pressions des projecteurs', 'relations complexes', ""impact sur l'image"", 'tensions médiatiques']"
134,5,5,0,[]
135,5,3,2,"['relations maître-animal', 'confiance et affection']"
136,5,5,0,[]
137,5,5,0,[]
138,4,2,2,"['échange des stratégies', 'entraide et camaraderie']"
139,5,5,0,[]
140,5,3,2,"['œuvres empreintes', 'jeunesse et rébellion']"
141,5,4,1,['authenticité des contenus']
142,5,5,0,[]
143,5,1,4,"['relations de célébrités', 'mariages de stars', 'divorces médiatisés', 'impact sur la carrière']"
144,5,3,2,"['rencontrer des acteurs', ""échanges d'idées""]"
145,6,6,0,[]
146,5,5,0,[]
147,5,4,1,['innovation artistique']
148,5,5,0,[]
149,6,6,0,[]
150,5,5,0,[]
151,5,4,1,['logement inaccessible']
152,5,5,0,[]
153,5,4,1,['réduction des coûts']
154,5,4,1,['espèces menacées']
155,5,5,0,[]
156,5,4,1,['migrations externes']
157,5,5,0,[]
158,5,5,0,[]
159,5,5,0,[]
160,5,5,0,[]
161,5,5,0,[]
162,5,5,0,[]
163,6,6,0,[]
164,5,5,0,[]
165,5,3,2,"['migrations internes', 'migrations externes']"
166,5,5,0,[]
167,5,5,0,[]
168,6,6,0,[]
169,5,2,3,"['lutte pour la liberté', ""quêtes d'identité"", 'societé en mutation']"
170,5,5,0,[]
171,5,4,1,['styles']
172,6,6,0,[]
173,5,3,2,"['voyager avec son animal', 'règles et réglementations']"
174,5,5,0,[]
175,5,5,0,[]
176,6,6,0,[]
177,5,5,0,[]
178,5,5,0,[]
179,5,5,0,[]
180,5,5,0,[]
181,5,5,0,[]
182,5,4,1,['engagement']
183,6,6,0,[]
184,5,4,1,['réflexion des changements sociaux']
185,5,2,3,"[""échanges d'astuces"", 'expériences de jeu', 'influence la culture']"
186,5,5,0,[]
187,4,4,0,[]
188,5,5,0,[]
189,5,5,0,[]
190,5,5,0,[]
191,5,5,0,[]
192,6,6,0,[]
193,5,5,0,[]
194,5,5,0,[]
195,5,5,0,[]
196,5,5,0,[]
197,5,4,1,"[""relation entre l'homme et son compagnon""]"
198,6,5,1,['prix prestigieux']
199,5,5,0,[]
200,5,5,0,[]
201,5,5,0,[]
202,5,5,0,[]
203,5,5,0,[]
204,6,6,0,[]
205,5,5,0,[]
206,5,5,0,[]
207,5,4,1,['engagements humanitaires']
208,5,4,1,['découvertes fascinantes']
209,6,6,0,[]
210,6,6,0,[]
211,5,5,0,[]
212,6,6,0,[]
213,3,3,0,[]
214,5,5,0,[]
215,5,5,0,[]
216,5,5,0,[]
217,5,5,0,[]
218,5,5,0,[]
219,5,5,0,[]
220,5,5,0,[]
221,5,5,0,[]
222,5,5,0,[]
223,5,4,1,['réalité augmentée']
224,5,4,1,['atmosphère électrique']
225,6,5,1,['voyager avec son animal']
226,5,4,1,['couleurs pastel']
227,5,5,0,[]
228,3,3,0,[]
229,5,5,0,[]
230,6,6,0,[]
231,6,6,0,[]
232,5,2,3,"['réflexion de la société', 'évolution des tendances', 'styles audacieux']"
233,5,4,1,['comportements des jeunes']
234,5,5,0,[]
235,3,3,0,[]
236,5,5,0,[]
237,5,5,0,[]
238,5,5,0,[]
239,5,4,1,"[""partage d'idées""]"
240,5,5,0,[]
241,5,5,0,[]
242,6,6,0,[]
243,5,4,1,['menacent les satellites']
244,5,5,0,[]
245,5,5,0,[]
246,5,5,0,[]
247,5,4,1,['produits pour animaux']
248,5,5,0,[]
249,5,5,0,[]
250,5,5,0,[]
251,5,5,0,[]
252,5,5,0,[]
253,5,5,0,[]
254,5,5,0,[]
255,5,4,1,['dialogue entre parties']
256,5,5,0,[]
257,5,4,1,['financements transparents']
258,5,5,0,[]
259,5,5,0,[]
260,5,5,0,[]
261,5,4,1,['tendances technologiques']
262,5,5,0,[]
263,5,5,0,[]
264,5,5,0,[]
265,5,5,0,[]
266,5,4,1,['expériences personnalisées']
267,5,5,0,[]
268,5,5,0,[]
269,3,3,0,[]
270,5,2,3,"['comportement des animaux', 'chiens et chats', 'patience et constance']"
271,5,5,0,[]
272,5,5,0,[]
273,4,3,1,['accessibilité des technologies']
274,5,5,0,[]
275,5,4,1,['espèces menacées']
276,5,5,0,[]
277,5,5,0,[]
278,6,6,0,[]
279,5,5,0,[]
280,5,4,1,['chats et chiens']
281,6,6,0,[]
282,5,5,0,[]
283,6,6,0,[]
284,5,4,1,['crise économique']
285,5,5,0,[]
286,5,3,2,"['migrations externes', 'dynamique économique']"
287,5,2,3,"['audace et originalité', 'authenticité et innovation', 'passion et persévérance']"
288,5,5,0,[]
289,5,5,0,[]
290,5,5,0,[]
291,5,5,0,[]
292,5,4,1,['croissance économique']
293,5,4,1,['acteur principal']
294,5,5,0,[]
295,5,5,0,[]
296,5,5,0,[]
297,3,2,1,['élèphants majestueux']
298,5,5,0,[]
299,6,3,3,"['migrations externes', 'transformer ses sociétés', ""quêtes d'identité""]"
300,5,5,0,[]
301,4,2,2,"['voyager avec son animal', 'nouvelle ville']"
302,5,5,0,[]
303,4,3,1,['voyager avec son animal']
304,5,5,0,[]
305,5,5,0,[]
306,5,5,0,[]
307,5,5,0,[]
308,5,5,0,[]
309,5,5,0,[]
310,3,2,1,['voyager avec son animal']
311,5,4,1,['fortunes']
312,5,5,0,[]
313,5,5,0,[]
314,5,4,1,['politiques migratoires']
315,5,5,0,[]
316,5,5,0,[]
317,5,5,0,[]
318,5,5,0,[]
319,5,5,0,[]
320,3,3,0,[]
321,5,4,1,['conflits humains-faune']
322,6,6,0,[]
323,5,5,0,[]
324,5,5,0,[]
325,5,5,0,[]
326,4,4,0,[]
327,6,6,0,[]
328,5,5,0,[]
329,5,4,1,['augmentation des prix']
330,5,4,1,['crises internationales']
331,5,5,0,[]
332,6,6,0,[]
333,5,5,0,[]
334,3,2,1,['culture pour la jeunesse']
335,5,5,0,[]
336,5,4,1,"[""échange d'astuces""]"
337,5,4,1,['collaborations marques-stars']
338,5,5,0,[]
339,5,5,0,[]
340,5,4,1,['menaces sur elles']
341,5,5,0,[]
342,5,4,1,['dynamique du gameplay']
343,5,5,0,[]
344,5,5,0,[]
345,6,6,0,[]
346,5,5,0,[]
347,5,5,0,[]
348,5,5,0,[]
349,6,4,2,"['paix et sécurité', 'traités et conventions']"
350,5,2,3,"['collaborations marques-stars', 'notoriété des célébrités', 'authenticité']"
351,5,5,0,[]
352,5,5,0,[]
353,5,5,0,[]
354,6,5,1,['engagement des jeunes générations']
355,5,5,0,[]
356,5,5,0,[]
357,5,5,0,[]
358,5,4,1,['espèces menacées']
359,6,6,0,[]
360,5,4,1,['orientation professionnelle']
361,5,5,0,[]
362,5,5,0,[]
363,6,5,1,['inclusion et égalité']
364,6,5,1,['innovation']
365,5,5,0,[]
366,5,5,0,[]
367,5,5,0,[]
368,5,5,0,[]
369,5,4,1,['forme de vie']
370,5,5,0,[]
371,5,5,0,[]
372,5,5,0,[]
373,5,4,1,['formation adaptée']
374,5,5,0,[]
375,5,5,0,[]
376,5,5,0,[]
377,5,5,0,[]
378,5,5,0,[]
379,5,5,0,[]
380,5,4,1,['collaborations marques-stars']
381,5,5,0,[]
382,5,4,1,['art et créativité']
383,5,5,0,[]
384,6,5,1,['artisans']
385,5,5,0,[]
386,6,6,0,[]
387,5,4,1,['programme Erasmus']
388,4,3,1,['réalité augmentée']
389,5,5,0,[]
390,5,5,0,[]
391,5,5,0,[]
392,5,5,0,[]
393,5,4,1,['ressources mises à disposition']
394,5,4,1,['albums musicaux']
395,5,5,0,[]
396,5,5,0,[]
397,5,5,0,[]
398,5,3,2,"['mode vestimentaire', 'identité personnelle']"
399,6,6,0,[]
400,5,4,1,['arôme envoûtant']
401,5,5,0,[]
402,5,4,1,['stabilité financière']
403,5,4,1,['santé des jeunes']
404,5,5,0,[]
405,3,3,0,[]
406,5,2,3,"['lancement de fusées', 'moment unique', 'science et art']"
407,5,4,1,['relations maître-animal']
408,5,5,0,[]
409,5,3,2,"['voyager avec son animal', ""confort de l'animal""]"
410,5,5,0,[]
411,6,3,3,"['transition politique', 'influence des relations diplomatiques', 'instabilité régionale']"
412,5,5,0,[]
413,5,5,0,[]
414,6,6,0,[]
415,6,6,0,[]
416,5,4,1,['collaboration internationale']
417,5,5,0,[]
418,5,5,0,[]
419,6,6,0,[]
420,6,6,0,[]
421,5,5,0,[]
422,6,6,0,[]
423,5,5,0,[]
424,5,5,0,[]
425,5,5,0,[]
426,5,5,0,[]
427,5,5,0,[]
428,5,5,0,[]
429,6,6,0,[]
430,6,6,0,[]
431,5,5,0,[]
432,5,2,3,"['relation maître-animal', 'complicité et affection', 'lien fort']"
433,5,5,0,[]
434,5,5,0,[]
435,5,4,1,['organisations internationales']
436,5,5,0,[]
437,5,5,0,[]
438,3,3,0,[]
439,5,4,1,['pression sociale']
440,5,5,0,[]
441,5,4,1,['violations des droits']
442,5,5,0,[]
443,5,4,1,['étoiles brillantes']
444,5,5,0,[]
445,5,5,0,[]
446,5,5,0,[]
447,5,5,0,[]
448,5,5,0,[]
449,6,6,0,[]
450,5,4,1,['migrations externes']
451,5,5,0,[]
452,5,5,0,[]
453,5,5,0,[]
454,5,5,0,[]
455,5,5,0,[]
456,5,4,1,['promouvoir et protéger']
457,5,5,0,[]
458,5,5,0,[]
459,5,5,0,[]
460,5,5,0,[]
461,5,5,0,[]
462,5,5,0,[]
463,5,5,0,[]
464,5,4,1,['réalité augmentée']
465,5,5,0,[]
466,3,1,2,"['changements climatiques', 'cooperation mondiale']"
467,6,5,1,['conflits humains-faune']
468,5,5,0,[]
469,5,5,0,[]
470,5,5,0,[]
471,5,5,0,[]
472,5,5,0,[]
473,5,5,0,[]
474,6,6,0,[]
475,3,2,1,['colonisation de Mars']
476,5,5,0,[]
477,6,6,0,[]
478,5,5,0,[]
479,6,6,0,[]
480,6,6,0,[]
481,5,4,1,['créations']
482,6,6,0,[]
483,5,5,0,[]
484,5,4,1,['apprentissage interactif']
485,5,5,0,[]
486,5,4,1,['orientation professionnelle']
487,5,4,1,['recherche et développement']
488,5,3,2,"['conflits humains-faune', 'animaux sauvages']"
489,5,5,0,[]
490,5,4,1,['transformation des modes de production']
491,5,5,0,[]
492,5,4,1,['offre et demande']
493,5,4,1,['mouvement social']
494,5,5,0,[]
495,5,5,0,[]
496,5,5,0,[]
497,3,3,0,[]
498,5,3,2,"['juste climatique', 'voix des jeunes']"
499,5,4,1,['changement climatique']
500,5,3,2,"['voyager avec son animal', 'fournitures nécessaires']"
501,5,5,0,[]
502,5,5,0,[]
503,5,4,1,['choisir la bonne assurance']
504,5,5,0,[]
505,5,5,0,[]
506,5,5,0,[]
507,5,5,0,[]
508,5,5,0,[]
509,5,5,0,[]
510,5,5,0,[]
511,5,4,1,['valeurs et image de marque']
512,6,5,1,['instruments financiers']
513,3,2,1,['espèces menacées']
514,5,5,0,[]
515,5,4,1,['politiques budgétaires']
516,5,4,1,['développement des villes']
517,5,4,1,['fausse pas']
518,5,5,0,[]
519,5,5,0,[]
520,6,6,0,[]
521,5,5,0,[]
522,5,3,2,"['protection des espèces', 'habitat naturel']"
523,5,4,1,['aide humanitaire']
524,6,6,0,[]
525,5,4,1,['produits et accessoires']
526,5,5,0,[]
527,5,5,0,[]
528,4,4,0,[]
529,5,4,1,['moment unique']
530,5,5,0,[]
531,5,4,1,['alimentation bio']
532,5,5,0,[]
533,5,4,1,['prix des logements']
534,5,5,0,[]
535,5,5,0,[]
536,5,5,0,[]
537,5,5,0,[]
538,5,4,1,['mobiliser leur communauté']
539,5,4,1,['chien de petite taille']
540,3,2,1,"[""transparence dans l'industrie""]"
541,5,4,1,['éducation des animaux']
542,5,5,0,[]
543,5,5,0,[]
544,5,5,0,[]
545,5,4,1,['migrations externes']
546,5,5,0,[]
547,5,4,1,['conception durable']
548,5,4,1,['programmes de réintroduction']
549,5,5,0,[]
550,6,6,0,[]
551,5,5,0,[]
552,5,5,0,[]
553,5,4,1,['emprise addictive']
554,5,5,0,[]
555,5,5,0,[]
556,5,3,2,"['albums musicaux', ""critique d'albums""]"
557,6,6,0,[]
558,5,5,0,[]
559,5,5,0,[]
560,5,5,0,[]
561,5,5,0,[]
562,5,5,0,[]
563,6,6,0,[]
564,6,5,1,['régulation essentielle']
565,5,5,0,[]
566,6,6,0,[]
567,5,5,0,[]
568,5,5,0,[]
569,5,5,0,[]
570,5,4,1,['besoins des animaux']
571,5,5,0,[]
572,6,5,1,['exploration de la Lune']
573,5,5,0,[]
574,5,5,0,[]
575,5,5,0,[]
576,5,5,0,[]
577,5,4,1,['changement de comportements']
578,3,2,1,['relation maître-animal']
579,5,4,1,['communauté dynamique']
580,5,4,1,['société juste']
581,5,5,0,[]
582,5,5,0,[]
583,5,5,0,[]
584,5,4,1,['stabilité économique']
585,5,5,0,[]
586,5,4,1,['stimulation de la demande']
587,5,1,4,"['relations de célébrités', 'mariages de stars', 'couples influents', 'ruptures médiatiques']"
588,5,5,0,[]
589,5,5,0,[]
590,5,5,0,[]
591,5,5,0,[]
592,5,5,0,[]
593,5,5,0,[]
594,5,5,0,[]
595,5,5,0,[]
596,5,4,1,"[""s'esprit d'équipe""]"
597,5,5,0,[]
598,6,5,1,['espèces menacées']
599,6,6,0,[]
600,5,5,0,[]
601,4,3,1,['consequences sur la vie sociale']
602,5,4,1,['croissance économique']
603,5,3,2,"['changement climatique', 'recherche scientifique']"
604,5,5,0,[]
605,5,5,0,[]
606,5,5,0,[]
607,5,5,0,[]
608,5,5,0,[]
609,5,5,0,[]
610,5,3,2,"['relations maître-animal', ""bien-être de l'animal""]"
611,5,4,1,['protection de la biodiversité']
612,5,5,0,[]
613,5,3,2,"['rétrgaming', ""consoles d'antan""]"
614,5,5,0,[]
615,5,5,0,[]
616,5,5,0,[]
617,5,5,0,[]
618,5,5,0,[]
619,6,6,0,[]
620,6,6,0,[]
621,5,4,1,['relation maître-animal']
622,5,4,1,['défis nombreux']
623,5,4,1,['réalité augmentée']
624,5,5,0,[]
625,5,5,0,[]
626,5,5,0,[]
627,5,4,1,['ressources durables']
628,5,5,0,[]
629,5,5,0,[]
630,6,6,0,[]
631,5,4,1,['pièce unique']
632,5,4,1,['lien affectif']
633,5,5,0,[]
634,6,6,0,[]
635,5,5,0,[]
636,5,5,0,[]
637,5,5,0,[]
638,3,3,0,[]
639,5,5,0,[]
640,5,5,0,[]
641,5,5,0,[]
642,5,5,0,[]
643,4,4,0,[]
644,5,5,0,[]
645,5,5,0,[]
646,5,2,3,"['voyager avec son animal', 'transport sécurisé', 'renforcer le lien']"
647,6,6,0,[]
648,6,5,1,['échange et partage']
649,5,5,0,[]
650,5,4,1,['menaces géopolitiques']
651,3,3,0,[]
652,3,3,0,[]
653,6,5,1,['recherche et développement']
654,5,5,0,[]
655,5,4,1,['culture esport']
656,5,5,0,[]
657,6,6,0,[]
658,6,6,0,[]
659,5,5,0,[]
660,5,5,0,[]
661,5,5,0,[]
662,5,4,1,['système de santé']
663,3,2,1,['changement climatique']
664,6,6,0,[]
665,5,4,1,['créateurs émergents']
666,6,6,0,[]
667,5,5,0,[]
668,5,2,3,"['exploration de la Lune', 'missions de colonisation', ""défis de l'exploration""]"
669,5,4,1,['développement des compétences']
670,5,4,1,['accords environnementaux']
671,5,5,0,[]
672,5,5,0,[]
673,3,3,0,[]
674,5,4,1,['collaborations marques-stars']
675,5,4,1,['nouveaux techniques']
676,3,3,0,[]
677,5,5,0,[]
678,5,5,0,[]
679,5,5,0,[]
680,5,5,0,[]
681,6,6,0,[]
682,5,4,1,['développement durable']
683,3,3,0,[]
684,4,4,0,[]
685,5,5,0,[]
686,5,5,0,[]
687,5,5,0,[]
688,5,3,2,"['soins préventifs', 'bien-être animal']"
689,5,5,0,[]
690,5,5,0,[]
691,5,5,0,[]
692,5,5,0,[]
693,5,5,0,[]
694,5,4,1,['teintes chaudes']
695,5,4,1,['espèces menacées']
696,4,3,1,['soins vétérinaires']
697,5,5,0,[]
698,5,4,1,['justice et égalité']
699,5,4,1,['prévention des maladies']
700,5,5,0,[]
701,5,5,0,[]
702,5,4,1,['loisirs']
703,5,4,1,['comportements inappropriés']
704,5,4,1,['confiance en soi']
705,5,5,0,[]
706,5,5,0,[]
707,5,3,2,"['relations maître-animal', 'bien-être des animaux']"
708,5,5,0,[]
709,5,5,0,[]
710,5,5,0,[]
711,5,5,0,[]
712,3,3,0,[]
713,5,5,0,[]
714,5,5,0,[]
715,3,2,1,['traditions africaines']
716,5,5,0,[]
717,5,5,0,[]
718,5,5,0,[]
719,5,5,0,[]
720,5,4,1,['changement climatique']
721,3,3,0,[]
722,6,6,0,[]
723,5,5,0,[]
724,5,5,0,[]
725,4,3,1,['santé des animaux']
726,5,4,1,['disparités entre les secteurs']
727,5,5,0,[]
728,5,5,0,[]
729,6,5,1,['recherche scientifique']
730,5,5,0,[]
731,5,5,0,[]
732,5,5,0,[]
733,5,5,0,[]
734,6,6,0,[]
735,5,5,0,[]
736,5,4,1,['apprentissage ludique']
737,5,5,0,[]
738,5,5,0,[]
739,5,4,1,['comparaison des options']
740,5,5,0,[]
741,5,5,0,[]
742,5,3,2,"['rétrgaming', 'Nostalgie']"
743,5,3,2,"['Assurance Animaux', 'animaux de compagnie']"
744,5,4,1,"[""crises d'origine naturelle""]"
745,5,4,1,['secteur spatial']
746,6,6,0,[]
747,5,4,1,['recherche et développement']
748,5,5,0,[]
749,5,5,0,[]
750,5,4,1,['canaux martiens']
751,6,6,0,[]
752,5,4,1,['orientation professionnelle']
753,5,5,0,[]
754,5,5,0,[]
755,5,5,0,[]
756,5,5,0,[]
757,5,3,2,"['régulation des jeux vidéo', 'système de classification']"
758,5,5,0,[]
759,5,3,2,"['réflexion des époques', 'changement sociétal']"
760,5,5,0,[]
761,5,5,0,[]
762,5,5,0,[]
763,5,5,0,[]
764,5,5,0,[]
765,3,3,0,[]
766,5,4,1,['changement climatique']
767,5,3,2,"['orientation professionnelle', 'accompagnement des jeunes']"
768,5,4,1,['hausse des prix']
769,5,3,2,"['défis et succès', 'innovation et résilience']"
770,6,4,2,"['connaissances et cultures', ""mystères de l'espace""]"
771,5,5,0,[]
772,6,6,0,[]
773,6,5,1,['tensions entre groupes']
774,5,4,1,['looks']
775,5,5,0,[]
776,5,5,0,[]
777,5,5,0,[]
778,5,4,1,['ressources mobilisées']
779,6,5,1,['Affaires internationales']
780,5,5,0,[]
781,5,5,0,[]
782,5,5,0,[]
783,5,5,0,[]
784,5,5,0,[]
785,3,3,0,[]
786,5,4,1,['responsabilité des États']
787,5,5,0,[]
788,5,5,0,[]
789,4,4,0,[]
790,6,5,1,['Santé publique']
791,5,5,0,[]
792,6,5,1,['mondes durables']
793,5,5,0,[]
794,5,4,1,['promouvoir et protéger']
795,5,5,0,[]
796,5,4,1,['culture pour la jeunesse']
797,5,5,0,[]
798,5,5,0,[]
799,5,5,0,[]
800,3,3,0,[]
801,5,5,0,[]
802,3,3,0,[]
803,5,4,1,['politiques éducatives']
804,5,5,0,[]
805,5,4,1,['produits éthiques']
806,5,4,1,['révolution de la mode']
807,5,5,0,[]
808,6,6,0,[]
809,5,5,0,[]
810,5,4,1,"[""accès à l'espace""]"
811,5,5,0,[]
812,5,5,0,[]
813,6,6,0,[]
814,5,5,0,[]
815,5,5,0,[]
816,5,5,0,[]
817,5,4,1,['alimentation équilibrée']
818,5,5,0,[]
819,5,5,0,[]
820,5,4,1,['croissance économique']
821,5,5,0,[]
822,5,5,0,[]
823,6,6,0,[]
824,5,5,0,[]
825,5,4,1,['élections internationales']
826,5,5,0,[]
827,5,5,0,[]
828,5,4,1,['échanges culturels']
829,5,4,1,['croissance économique']
830,6,6,0,[]
831,5,3,2,"['Satellites', 'changement environnemental']"
832,5,4,1,['activités physiques']
833,5,3,2,"['voyager avec un animal', 'préparer son animal']"
834,5,5,0,[]
835,5,5,0,[]
836,5,3,2,"['culture et loisirs', 'encourager la créativité']"
837,3,3,0,[]
838,5,5,0,[]
839,6,5,1,['conflits humains-faune']
840,5,5,0,[]
841,5,5,0,[]
842,5,4,1,['comparer les options']
843,6,6,0,[]
844,5,4,1,['changement environnementaux']
845,5,5,0,[]
846,5,4,1,['accessoires sophistiqués']
847,5,4,1,['conflit humain-faune']
848,5,5,0,[]
849,5,5,0,[]
850,5,5,0,[]
851,6,6,0,[]
852,3,3,0,[]
853,5,5,0,[]
854,5,4,1,['énergies renouvelables']
855,5,5,0,[]
856,5,5,0,[]
857,5,5,0,[]
858,5,3,2,"['animaux hypoallergéniques', 'éducation des animaux']"
859,5,5,0,[]
860,6,6,0,[]
861,5,5,0,[]
862,5,5,0,[]
863,5,5,0,[]
864,5,5,0,[]
865,5,5,0,[]
866,3,3,0,[]
867,5,5,0,[]
868,5,4,1,['sorties de nouveaux titres']
869,5,5,0,[]
870,5,4,1,['conditions propices']
871,5,5,0,[]
872,5,5,0,[]
873,5,4,1,['adaptation rapide']
874,6,6,0,[]
875,6,6,0,[]
876,5,5,0,[]
877,5,5,0,[]
878,5,5,0,[]
879,5,5,0,[]
880,6,6,0,[]
881,5,5,0,[]
882,5,5,0,[]
883,5,5,0,[]
884,5,5,0,[]
885,5,5,0,[]
886,3,2,1,['pratiques de fabrication durables']
887,4,4,0,[]
888,5,5,0,[]
889,5,3,2,"['organisations internationales', 'décisions diplomatiques']"
890,5,4,1,['dynamique sociale']
891,5,5,0,[]
892,5,5,0,[]
893,5,5,0,[]
894,3,2,1,['espèces menacées']
895,5,5,0,[]
896,3,2,1,['transparence et responsabilité']
897,5,4,1,['stand coloré']
898,5,4,1,['observation de la Terre']
899,6,6,0,[]
900,5,4,1,['collaborations marques-stars']
901,5,5,0,[]
902,5,5,0,[]
903,5,4,1,['programmes de réintroduction']
904,5,5,0,[]
905,5,5,0,[]
906,5,4,1,['protection des consommateurs']
907,5,5,0,[]
908,5,5,0,[]
909,5,4,1,"[""lutte contre l'abandon""]"
910,5,5,0,[]
911,5,5,0,[]
912,5,5,0,[]
913,5,5,0,[]
914,5,5,0,[]
915,5,5,0,[]
916,5,5,0,[]
917,5,5,0,[]
918,5,3,2,"['richesse en cultures', 'patrimoine diversifié']"
919,5,4,1,['société inclusive']
920,5,4,1,['alimentation équilibrée']
921,6,5,1,['produits adaptés']
922,5,4,1,['changement environnementaux']
923,5,5,0,[]
924,5,5,0,[]
925,5,4,1,['fortunes colossaux']
926,5,5,0,[]
927,5,5,0,[]
928,6,5,1,['récompenses prisées']
929,3,2,1,['relations des célébrités']
930,5,5,0,[]
931,5,5,0,[]
932,5,5,0,[]
933,5,5,0,[]
934,5,4,1,['entreprises privées']
935,5,4,1,['ressources précieuses']
936,5,5,0,[]
937,5,4,1,['voyager avec un animal']
938,5,5,0,[]
939,5,5,0,[]
940,5,4,1,['mobilisation']
941,5,5,0,[]
942,5,5,0,[]
943,5,5,0,[]
944,5,4,1,['innovations technologiques']
945,5,5,0,[]
946,6,5,1,['espèces menacées']
947,5,4,1,"[""mystères de l'univers""]"
948,5,5,0,[]
949,5,4,1,['développement équilibré']
950,3,3,0,[]
951,5,5,0,[]
952,5,5,0,[]
953,5,5,0,[]
954,5,5,0,[]
955,5,5,0,[]
956,5,4,1,['collaborations marques-stars']
957,5,5,0,[]
958,5,5,0,[]
959,5,4,1,['matériaux légers']
960,6,5,1,['looks audacieux']
961,5,5,0,[]
962,5,4,1,['protocole rigoureux']
963,5,5,0,[]
964,6,6,0,[]
965,5,5,0,[]
966,5,5,0,[]
967,6,5,1,['changement social']
968,5,4,1,['nouveaux films']
969,5,4,1,['changement environnementaux']
970,5,5,0,[]
971,5,5,0,[]
972,5,5,0,[]
973,5,5,0,[]
